labels,preds,error
2.120000042915343830e+00,2.055229027867317093e+00,6.477101504802673659e-02
1.830000033974647389e+00,2.046910562515258381e+00,2.169105285406109918e-01
1.999999973773956219e+00,1.992453443408012337e+00,7.546530365943882046e-03
2.029999991059303177e+00,1.956968156695365835e+00,7.303183436393734240e-02
1.830000033974647389e+00,1.951668279767036385e+00,1.216682457923889960e-01
1.850000005960464433e+00,1.891598263382911593e+00,4.159825742244716018e-02
1.930000012516975394e+00,1.866020859479904148e+00,6.397915303707124579e-02
1.809999943375587339e+00,1.849757323265075470e+00,3.975737988948813140e-02
1.860000051259994347e+00,1.816355359554290727e+00,4.364469170570361989e-02
1.819999988675117475e+00,1.787605288624763311e+00,3.239470005035416378e-02
1.889999949932098300e+00,1.771778604984283412e+00,1.182213449478148881e-01
1.750000027418136428e+00,1.829274951219558520e+00,7.927492380142209250e-02
1.730000055432319606e+00,1.830839341282844535e+00,1.008392858505249290e-01
1.709999964833259556e+00,1.800843475461006093e+00,9.084351062774653762e-02
1.700000038146972647e+00,1.760810557007789434e+00,6.081051886081678681e-02
1.599999940991401637e+00,1.680918132662773123e+00,8.091819167137148661e-02
1.620000031590461687e+00,1.601109449267387408e+00,1.889058232307427865e-02
1.620000031590461687e+00,1.554295530319213858e+00,6.570450127124782824e-02
1.650000048875808645e+00,1.551995263695716831e+00,9.800478518009181350e-02
1.759999954104423336e+00,1.550942215323448004e+00,2.090577387809753329e-01
1.659999975562095553e+00,1.593820072412490685e+00,6.617990314960486842e-02
1.670000020861625689e+00,1.578549684882163850e+00,9.145033597946183868e-02
1.650000048875808645e+00,1.606171388030052105e+00,4.382866084575653964e-02
1.629999958276748595e+00,1.585885439515113848e+00,4.411451876163474672e-02
1.570000042319297684e+00,1.566012502312660093e+00,3.987540006637591006e-03
1.499999962449073632e+00,1.507061720490455503e+00,7.061758041381871465e-03
1.579999969005584592e+00,1.455977131724357498e+00,1.240228372812270941e-01
1.520000053048133681e+00,1.440461096167564348e+00,7.953895688056933366e-02
1.419999955892562893e+00,1.481440785527229353e+00,6.144082963466646063e-02
1.349999994635581846e+00,1.431680513620376516e+00,8.168051898479466999e-02
1.380000011920928804e+00,1.362999294400215167e+00,1.700071752071363740e-02
1.440000046491622943e+00,1.332362323999404907e+00,1.076377224922180353e-01
1.410000029206275984e+00,1.331735334396362269e+00,7.826469480991371519e-02
1.330000022649765024e+00,1.387171724438667209e+00,5.717170178890218502e-02
1.440000046491622943e+00,1.413679530620574942e+00,2.632051587104800028e-02
1.229999984800815405e+00,1.465671273469924873e+00,2.356712886691094688e-01
1.309999991357326365e+00,1.419218650460243092e+00,1.092186591029167264e-01
1.319999977350234888e+00,1.406185308694839486e+00,8.618533134460459877e-02
1.170000009536743102e+00,1.360261700749397340e+00,1.902616912126542381e-01
1.170000009536743102e+00,1.240566349029540882e+00,7.056633949279778051e-02
1.109999974966049185e+00,1.154258786737918818e+00,4.425881177186963278e-02
1.120000020265579099e+00,1.097477856278419317e+00,2.252216398715978229e-02
1.059999985694885183e+00,1.067345822453498849e+00,7.345836758613666362e-03
1.099999988973140663e+00,1.005238979458808801e+00,9.476100951433186204e-02
1.040000013709068138e+00,9.672183939814567033e-01,7.278161972761143517e-02
9.900000244379043579e-01,9.251890367269515192e-01,6.481098771095283873e-02
1.090000002980232141e+00,9.381357908248901811e-01,1.518642121553419599e-01
1.049999999701976661e+00,1.005598555505275771e+00,4.440144419670088993e-02
1.080000016987323619e+00,1.042290909886360195e+00,3.770910710096342378e-02
8.800000005960464389e-01,1.033390705883502791e+00,1.533907052874563526e-01
9.699999931454656998e-01,9.187726533412932106e-01,5.122733980417248922e-02
8.899999865889549611e-01,8.455689483880997059e-01,4.443103820085525513e-02
8.300000113248824363e-01,7.889967179298400524e-01,4.100329339504238391e-02
8.600000286102293945e-01,7.745690181851386802e-01,8.543101042509071430e-02
8.100000096857546961e-01,8.016984170675277577e-01,8.301592618226938392e-03
8.300000113248824363e-01,8.268778735399245905e-01,3.122137784957845774e-03
7.500000047683714754e-01,8.539075779914855335e-01,1.039075732231140581e-01
7.900000080466269559e-01,8.321635761857031355e-01,4.216356813907617962e-02
7.999999940395354781e-01,8.467551994323729847e-01,4.675520539283750665e-02
8.600000286102293945e-01,9.070258501172066001e-01,4.702582150697720564e-02
8.700000146031379167e-01,8.765774747729300209e-01,6.577460169792104239e-03
9.799999791383742220e-01,9.639219540357588656e-01,1.607802510261535645e-02
1.069999971687793705e+00,9.925554874539375128e-01,7.744448423385619229e-02
1.170000009536743102e+00,1.012363958358764693e+00,1.576360511779784090e-01
1.250000016093254063e+00,1.027001722157001362e+00,2.229982939362527006e-01
1.200000026822090060e+00,1.057528797388076702e+00,1.424712294340133578e-01
1.239999970793723927e+00,1.095760039985179901e+00,1.442399308085440257e-01
1.419999955892562893e+00,1.147054277658462462e+00,2.729456782341004306e-01
1.399999983906745848e+00,1.212657423913478860e+00,1.873425599932669883e-01
1.369999966621398890e+00,1.262438927590846971e+00,1.075610390305519193e-01
1.449999973177909851e+00,1.325394982099532992e+00,1.246049910783768588e-01
1.549999951720237634e+00,1.371886628866195723e+00,1.781133228540419111e-01
1.650000048875808645e+00,1.407399433851242110e+00,2.426006150245665349e-01
